6707, 0.00, 0.00, 0.00, 0.00, 0.00  |  0.00, 0.00, 0.00, 0.00, 0.00
Kp = 3E-7
Ki = 1E-11
Setting left:  30
2700.00
18250, 3073.90, 2700.00, -373.90, 76193800.00, 22.85  |  972.80, 0.00, 0.00, 0.00, 0.00
18353, 3101.74, 2700.00, -401.74, 75957568.00, 22.78  |  1058.87, 0.00, 0.00, 0.00, 0.00
18456, 3035.45, 2700.00, -335.45, 75693392.00, 22.70  |  1058.87, 0.00, 0.00, 0.00, 0.00
18560, 3328.45, 2700.00, -628.45, 75554304.00, 22.66  |  932.77, 0.00, 0.00, 0.00, 0.00
18663, 3425.13, 2700.00, -725.13, 75312552.00, 22.59  |  1141.87, 0.00, 0.00, 0.00, 0.00
18766, 3609.59, 2700.00, -909.59, 74988304.00, 22.49  |  1155.27, 0.00, 0.00, 0.00, 0.00
18869, 3314.77, 2700.00, -614.77, 74693968.00, 22.40  |  906.42, 0.00, 0.00, 0.00, 0.00
18972, 3032.14, 2700.00, -332.14, 74474048.00, 22.34  |  1048.61, 0.00, 0.00, 0.00, 0.00
19075, 2939.10, 2700.00, -239.10, 74402552.00, 22.32  |  1048.61, 0.00, 0.00, 0.00, 0.00
19178, 2740.33, 2700.00, -40.33, 74334880.00, 22.30  |  787.43, 0.00, 0.00, 0.00, 0.00
19281, 2761.52, 2700.00, -61.52, 74340400.00, 22.30  |  797.35, 0.00, 0.00, 0.00, 0.00
19384, 2855.19, 2700.00, -155.19, 74331480.00, 22.30  |  947.58, 0.00, 0.00, 0.00, 0.00
19487, 2695.42, 2700.00, 4.58, 74326176.00, 22.29  |  936.75, 0.00, 0.00, 0.00, 0.00
19590, 2467.67, 2700.00, 232.33, 74397416.00, 22.32  |  710.31, 0.00, 0.00, 0.00, 0.00
19693, 2423.89, 2700.00, 276.11, 74481632.00, 22.34  |  924.66, 0.00, 0.00, 0.00, 0.00
19796, 2324.50, 2700.00, 375.50, 74562296.00, 22.37  |  924.66, 0.00, 0.00, 0.00, 0.00
19900, 3179.45, 2700.00, -479.45, 74628152.00, 22.39  |  1023.08, 0.00, 0.00, 0.00, 0.00
20003, 2829.98, 2700.00, -129.98, 74406008.00, 22.32  |  1068.19, 0.00, 0.00, 0.00, 0.00
20106, 2454.35, 2700.00, 245.65, 74522040.00, 22.35  |  1068.19, 0.00, 0.00, 0.00, 0.00
20209, 2506.77, 2700.00, 193.23, 74672872.00, 22.40  |  679.51, 0.00, 0.00, 0.00, 0.00
20312, 2191.25, 2700.00, 508.75, 74815144.00, 22.44  |  656.55, 0.00, 0.00, 0.00, 0.00
20415, 2575.20, 2700.00, 124.80, 74944232.00, 22.48  |  940.31, 0.00, 0.00, 0.00, 0.00
20518, 2017.27, 2700.00, 682.73, 75094064.00, 22.52  |  940.31, 0.00, 0.00, 0.00, 0.00
20621, 1581.18, 2700.00, 1118.82, 75511824.00, 22.65  |  486.19, 0.00, 0.00, 0.00, 0.00
20724, 1756.48, 2700.00, 943.52, 75961080.00, 22.78  |  486.19, 0.00, 0.00, 0.00, 0.00
20827, 1722.95, 2700.00, 977.05, 76406656.00, 22.92  |  588.82, 0.00, 0.00, 0.00, 0.00
20930, 1653.99, 2700.00, 1046.01, 76928592.00, 23.07  |  588.82, 0.00, 0.00, 0.00, 0.00
21033, 1766.91, 2700.00, 933.09, 77391424.00, 23.21  |  587.28, 0.00, 0.00, 0.00, 0.00
21137, 1790.57, 2700.00, 909.43, 77842144.00, 23.35  |  565.05, 0.00, 0.00, 0.00, 0.00
21240, 1852.68, 2700.00, 847.32, 78232992.00, 23.47  |  565.05, 0.00, 0.00, 0.00, 0.00
21343, 2197.80, 2700.00, 502.20, 78503976.00, 23.55  |  576.22, 0.00, 0.00, 0.00, 0.00
21446, 2132.92, 2700.00, 567.08, 78805752.00, 23.64  |  666.54, 0.00, 0.00, 0.00, 0.00
21549, 2319.11, 2700.00, 380.89, 79063808.00, 23.71  |  666.54, 0.00, 0.00, 0.00, 0.00
21652, 2485.83, 2700.00, 214.17, 79191248.00, 23.75  |  701.95, 0.00, 0.00, 0.00, 0.00
21755, 2391.89, 2700.00, 308.11, 79304224.00, 23.79  |  741.18, 0.00, 0.00, 0.00, 0.00
21858, 2433.09, 2700.00, 266.91, 79415728.00, 23.82  |  780.64, 0.00, 0.00, 0.00, 0.00
21961, 2320.83, 2700.00, 379.17, 79546472.00, 23.86  |  780.64, 0.00, 0.00, 0.00, 0.00
22064, 2178.46, 2700.00, 521.54, 79796408.00, 23.93  |  744.16, 0.00, 0.00, 0.00, 0.00
22167, 2158.34, 2700.00, 541.66, 80076952.00, 24.02  |  620.32, 0.00, 0.00, 0.00, 0.00
22270, 2142.06, 2700.00, 557.94, 80216992.00, 24.06  |  620.32, 0.00, 0.00, 0.00, 0.00
22374, 2204.39, 2700.00, 495.61, 80408072.00, 24.12  |  745.80, 0.00, 0.00, 0.00, 0.00
22477, 2373.94, 2700.00, 326.06, 80603808.00, 24.18  |  696.34, 0.00, 0.00, 0.00, 0.00
22580, 2614.52, 2700.00, 85.48, 80787000.00, 24.23  |  644.61, 0.00, 0.00, 0.00, 0.00
22683, 2993.65, 2700.00, -293.65, 80829944.00, 24.24  |  644.61, 0.00, 0.00, 0.00, 0.00
22786, 2545.31, 2700.00, 154.69, 80783464.00, 24.23  |  874.74, 0.00, 0.00, 0.00, 0.00
22889, 2628.54, 2700.00, 71.46, 80733088.00, 24.21  |  826.53, 0.00, 0.00, 0.00, 0.00
22992, 3323.58, 2700.00, -623.58, 80617152.00, 24.18  |  863.29, 0.00, 0.00, 0.00, 0.00
23095, 3393.97, 2700.00, -693.97, 80338952.00, 24.10  |  1042.49, 0.00, 0.00, 0.00, 0.00
23198, 3639.01, 2700.00, -939.01, 79966416.00, 23.99  |  1118.22, 0.00, 0.00, 0.00, 0.00
23301, 3397.66, 2700.00, -697.66, 79610920.00, 23.88  |  1067.14, 0.00, 0.00, 0.00, 0.00
23404, 3342.69, 2700.00, -642.69, 79413048.00, 23.82  |  1214.83, 0.00, 0.00, 0.00, 0.00
23507, 2918.52, 2700.00, -218.52, 79142504.00, 23.74  |  972.20, 0.00, 0.00, 0.00, 0.00
23611, 3216.68, 2700.00, -516.68, 79069912.00, 23.72  |  941.48, 0.00, 0.00, 0.00, 0.00
23714, 3188.37, 2700.00, -488.37, 78746368.00, 23.62  |  1203.83, 0.00, 0.00, 0.00, 0.00
23817, 3566.84, 2700.00, -866.84, 78389256.00, 23.51  |  913.44, 0.00, 0.00, 0.00, 0.00
23920, 3297.72, 2700.00, -597.72, 77921144.00, 23.37  |  1021.45, 0.00, 0.00, 0.00, 0.00
24023, 3382.03, 2700.00, -682.03, 77594800.00, 23.27  |  1000.72, 0.00, 0.00, 0.00, 0.00
24126, 3815.05, 2700.00, -1115.05, 77198432.00, 23.16  |  1024.34, 0.00, 0.00, 0.00, 0.00
24229, 3066.73, 2700.00, -366.73, 76809968.00, 23.04  |  1071.67, 0.00, 0.00, 0.00, 0.00
